15,NRIP1,IGF2,CDK1,ASF1B,,ERBB2,ABCB1,,F2,,,CDH1,CEACAM1,GSTP1,NEUROD1,,,NAMPT,EP300,,,TNFAIP8,CDKN1A,,,,MACC1,MLXIPL,,,
16,INSM1,HES6,TP53,CDCA4,,VEGFA,EGR1,,ABL1,,,FOXA3,BLMH,ACOT11,NKX2-2,,,PKD2,MAF,,,CCNE1,AGT,,,,NFAT5,SREBF1,,,
17,CAD,TH,CHEK1,CDT1,,ABCC2,FOXO1,,NAA10,,,ABCB6,ITGA2B,BAX,,,,SCG5,ISG20,,,NRP2,FAS,,,,SDC4,HIF1A,,,
18,GUCY1A1,INSM1,BBC3,E2F1,,PLK1,BIRC5,,CREBBP,,,KIF12,,TRIM21,,,,IGFBP2,BAX,,,VEGFA,CYP2C8,,,,NWD1,FN1,,,
19,CDKN2B,DLL4,HRK,FBXO5,,MAPK14,HSPA5,,MDM2,,,AFP,,HLA-B,,,,SLIT2,GCA,,,CTNNB1,TDO2,,,,,LDLR,,,
20,TP53,EFNA5,CTNNB1,FOXO1,,TTR,NR0B2,,APEX1,,,,,TGFB2,,,,SQSTM1,CREBBP,,,HNF1B,FN1,,,,,PFKP,,,
21,VEGFA,RND3,SIVA1,GMNN,,CHEK1,SIRT1,,AKT1,,,,,TNFSF13B,,,,COL1A2,SOD2,,,MDM2,MAOA,,,,,SLC2A1,,,
22,FGFR1,DLL1,BIRC5,MCM10,,HELLS,PMAIP1,,TIMP1,,,,,CXCL14,,,,NOTCH1,PTHLH,,,E2F1,NR0B1,,,,,PKD1,,,
23,PDLIM7,JAG2,ISYNA1,MCM6,,AURKB,IAPP,,EGLN3,,,,,TP53,,,,NUMBL,HIF1A,,,HEY1,AFP,,,,,CYP27B1,,,
24,IGFBP1,CENPJ,TP53BP2,NPAT,,BUB1B,INS,,ID2,,,,,,,,,GJD2,APOE,,,APOA1,INS,,,,,,,,
25,THBS1,RET,PPP1R13B,PLK1,,CDC25A,ANGPTL2,,NPM1,,,,,,,,,MAPK14,DUSP1,,,NR3C1,DUSP1,,,,,,,,
26,APAF1,BTG2,MT1G,PLK3,,CDC6,PNPLA2,,PFKFB4,,,,,,,,,CREBBP,RIPK1,,,PPARG,AHR,,,,,,,,
27,SMOC2,AXIN2,CCNE2,PLK4,,IGFBP1,MAOA,,SP1,,,,,,,,,IAPP,TRADD,,,PCK2,S100A10,,,,,,,,
28,PHB2,,PNRC2,TOPBP1,,PROC,CYP1A1,,JUN,,,,,,,,,PITX1,CEBPA,,,,IGFBP1,,,,,,,,
29,TH,,MYBL2,TP53,,CPS1,NDN,,VHL,,,,,,,,,DLL1,RPS3,,,,OCLN,,,,,,,,
30,PER1,,MCM8,MCM2,,AR,VEGFA,,MET,,,,,,,,,THRB,AGR2,,,,CALD1,,,,,,,,
31,AGR2,,DIABLO,BAX,,BRIP1,SCN5A,,CAD,,,,,,,,,,HSPA5,,,,CYP27A1,,,,,,,,
32,CD36,,PURA,MDM2,,BTG2,DGKA,,CCNA2,,,,,,,,,,SP1,,,,TH,,,,,,,,
33,ABCC4,,VEGFA,MCM8,,CDC25B,PKLR,,CISH,,,,,,,,,,FGFR1,,,,SELENOP,,,,,,,,
34,RFC1,,NCOA3,,,FGB,CDKN1A,,BRCA1,,,,,,,,,,ME3,,,,MCL1,,,,,,,,
35,ABCG2,,BRCA1,,,VEGFB,ABCC2,,TGFB3,,,,,,,,,,HPSE,,,,PMAIP1,,,,,,,,
36,NQO1,,DDB2,,,TP53,FASN,,NAMPT,,,,,,,,,,CD99,,,,SCARB1,,,,,,,,
37,PPARGC1B,,NRP1,,,CCNA2,GLUL,,BIRC5,,,,,,,,,,SLC4A4,,,,KLF15,,,,,,,,
38,MFSD2A,,AR,,,CDC25C,PCK2,,F3,,,,,,,,,,SDC4,,,,SIRT1,,,,,,,,
39,DPEP1,,MAT2A,,,CCNE1,AR,,ARNT,,,,,,,,,,ABCG2,,,,RAF1,,,,,,,,
40,NAT1,,ASF1B,,,NEDD4,ADM,,CITED2,,,,,,,,,,BIRC5,,,,BRCA1,,,,,,,,
41,APOA1,,KLF6,,,CTNNB1,ASPM,,CASP3,,,,,,,,,,DNMT1,,,,NAT1,,,,,,,,
42,ABCB6,,FOXO1,,,CCNE2,ATP8A1,,RUNX1T1,,,,,,,,,,FOXO3,,,,H6PD,,,,,,,,
43,STC2,,FOXO3,,,FOXA3,B4GALT3,,LIFR,,,,,,,,,,RYK,,,,TERF1,,,,,,,,
44,MT2A,,DUSP1,,,SOD2,BCL2L13,,ABCB1,,,,,,,,,,CDK4,,,,MT2A,,,,,,,,
45,JUN,,HINFP,,,FOXM1,BCL2L2,,CDC25A,,,,,,,,,,MCL1,,,,SP3,,,,,,,,
46,CDKN1A,,ERCC5,,,RHOC,BID,,SIM1,,,,,,,,,,CXCL14,,,,KCNA3,,,,,,,,
47,PAH,,PMAIP1,,,,CASP2,,SAT1,,,,,,,,,,AGT,,,,PPARG,,,,,,,,
48,ISL1,,DTL,,,,CASP3,,APLN,,,,,,,,,,EGR1,,,,CYP1A1,,,,,,,,
49,APP,,CTNND2,,,,CCNB1,,PMAIP1,,,,,,,,,,MCAT,,,,INSR,,,,,,,,
50,PCNA,,SP3,,,,CCNB2,,CHKA,,,,,,,,,,BRCA2,,,,SST,,,,,,,,
51,RFC3,,XRCC1,,,,NOCT,,DIO3,,,,,,,,,,CD74,,,,GLUL,,,,,,,,
52,AFMID,,PLK4,,,,CDK1,,MT1A,,,,,,,,,,COL1A2,,,,MPG,,,,,,,,
53,TDO2,,KIF2C,,,,CDKN2B,,STC2,,,,,,,,,,NQO1,,,,PTHLH,,,,,,,,
54,TNFSF13B,,DBF4,,,,CITED2,,PGF,,,,,,,,,,IRF7,,,,MT1A,,,,,,,,
55,HRK,,EIF2AK2,,,,COL4A2,,HGFAC,,,,,,,,,,HDAC1,,,,BAX,,,,,,,,
56,CYP2C8,,PDK4,,,,DAAM1,,AURKA,,,,,,,,,,ABCB1,,,,CDK4,,,,,,,,
57,MMP2,,HSPA5,,,,ELK3,,IGF2,,,,,,,,,,ADORA2A,,,,CDK6,,,,,,,,
58,ABCC2,,DUT,,,,ELOVL5,,STC1,,,,,,,,,,AKT1,,,,ELK1,,,,,,,,
59,ABCC5,,KIF23,,,,FBN1,,CHRNA3,,,,,,,,,,ALOX5,,,,ETS1,,,,,,,,
60,CDH1,,RACGAP1,,,,GPAM,,ANG,,,,,,,,,,AMH,,,,NFKB1,,,,,,,,
61,SLC2A1,,EGR1,,,,GPD2,,FOXM1,,,,,,,,,,ATF3,,,,RPS6KA3,,,,,,,,
62,TGFB2,,FGFR1,,,,ID2,,SLC29A2,,,,,,,,,,B2M,,,,SRF,,,,,,,,
63,TFDP2,,CDAN1,,,,JUN,,RPS6KB1,,,,,,,,,,BTG2,,,,STAT1,,,,,,,,
64,SLC7A5,,XPC,,,,LPIN2,,GRIN1,,,,,,,,,,CARD8,,,,SLC19A2,,,,,,,,
65,,,HIC1,,,,LTBR,,APP,,,,,,,,,,CARM1,,,,KLF9,,,,,,,,
66,,,KCNJ11,,,,MCM5,,RPSA,,,,,,,,,,CASP3,,,,CEBPA,,,,,,,,
67,,,INSR,,,,NEK2,,MUC1,,,,,,,,,,CCNB1,,,,PER1,,,,,,,,
68,,,ID4,,,,NPC1,,AGT,,,,,,,,,,CCND2,,,,TIMELESS,,,,,,,,
69,,,PTTG1,,,,PBX1,,PNMT,,,,,,,,,,CD83,,,,PER2,,,,,,,,
70,,,DLK1,,,,PHLPP1,,DNASE1,,,,,,,,,,CDH1,,,,NR2F2,,,,,,,,
71,,,ELF4,,,,PLSCR1,,ACE,,,,,,,,,,CDKN1A,,,,CEBPB,,,,,,,,
72,,,RASSF1,,,,PRDX4,,CAPG,,,,,,,,,,CEACAM1,,,,NR4A2,,,,,,,,
73,,,DDIT3,,,,PSMB8,,CD36,,,,,,,,,,COL1A1,,,,FOXO3,,,,,,,,
74,,,THBS1,,,,NECTIN3,,ADM2,,,,,,,,,,COL2A1,,,,HNF4A,,,,,,,,
75,,,TGM1,,,,RPS6KA3,,HIF1AN,,,,,,,,,,CTSB,,,,KLF5,,,,,,,,
76,,,ECT2,,,,SCARB1,,IKBKB,,,,,,,,,,CXCL12,,,,FKBP5,,,,,,,,
77,,,MMP14,,,,SFRP1,,XPC,,,,,,,,,,CYP1A1,,,,FOXO1,,,,,,,,
78,,,MMP15,,,,SMAD4,,PAK1,,,,,,,,,,CYP27B1,,,,ABCB1,,,,,,,,
79,,,CDK2,,,,SPRY2,,HEY1,,,,,,,,,,E2F1,,,,ABCG2,,,,,,,,
80,,,HMGA1,,,,SQLE,,NEDD9,,,,,,,,,,EPCAM,,,,NR3C2,,,,,,,,
81,,,CASP3,,,,TAF11,,GC,,,,,,,,,,ERAP1,,,,ABCC2,,,,,,,,
82,,,CCNB1,,,,TCF4,,NEDD8,,,,,,,,,,F3,,,,IRF8,,,,,,,,
83,,,NRIP1,,,,TDO2,,IGFBP3,,,,,,,,,,FBP1,,,,IGFBP3,,,,,,,,
84,,,ATAD2,,,,TLE4,,GHR,,,,,,,,,,GCLC,,,,LAD1,,,,,,,,
85,,,RBM38,,,,TMEFF2,,MAT2A,,,,,,,,,,GFAP,,,,PRKCG,,,,,,,,
86,,,FOXM1,,,,TP53,,NRP2,,,,,,,,,,GRIN1,,,,GCH1,,,,,,,,
87,,,CD2AP,,,,TRADD,,SLC8A1,,,,,,,,,,GSK3A,,,,TGFBR2,,,,,,,,
88,,,STMN1,,,,TRAF1,,VLDLR,,,,,,,,,,GSTP1,,,,SLC2A1,,,,,,,,
89,,,DOK1,,,,TRAF6,,SH3BP2,,,,,,,,,,HYAL1,,,,GFAP,,,,,,,,
90,,,ABCB1,,,,TSC22D1,,MMP15,,,,,,,,,,IRF1,,,,ALOX12,,,,,,,,
91,,,FZD1,,,,TSPAN7,,ESRRG,,,,,,,,,,JUNB,,,,DHFR,,,,,,,,
92,,,FMN2,,,,VASP,,CTF1,,,,,,,,,,LIPE,,,,HPN,,,,,,,,
93,,,EI24,,,,CA2,,ZNF267,,,,,,,,,,MADCAM1,,,,LYZ,,,,,,,,
94,,,PLK1,,,,KCNJ8,,CD164,,,,,,,,,,MAT2A,,,,SHBG,,,,,,,,
95,,,ABCG2,,,,HNF4A,,MAP3K11,,,,,,,,,,MIF,,,,SLC2A3,,,,,,,,
96,,,HMGN2,,,,SOD2,,ABCC8,,,,,,,,,,MMP14,,,,TGFB2,,,,,,,,
97,,,UHRF1,,,,PPARGC1B,,SLC2A3,,,,,,,,,,MMP2,,,,TGM1,,,,,,,,
98,,,DSCC1,,,,IGF2,,BTG2,,,,,,,,,,NAMPT,,,,TIMP1,,,,,,,,
99,,,CYP27B1,,,,PLK1,,VASP,,,,,,,,,,NCOR1,,,,ADM,,,,,,,,
100,,,DCC,,,,SESN3,,WDR83,,,,,,,,,,NRF1,,,,KCNN2,,,,,,,,
101,,,KCNA3,,,,ABCC9,,GAST,,,,,,,,,,OPTN,,,,DPAGT1,,,,,,,,
102,,,MEIS1,,,,MMP2,,BSG,,,,,,,,,,PCYT2,,,,GLCCI1,,,,,,,,
103,,,SAFB,,,,NR2F2,,MAPK9,,,,,,,,,,PDE7A,,,,,,,,,,,,
104,,,UXT,,,,NKX3-1,,CD24,,,,,,,,,,PDK4,,,,,,,,,,,,
105,,,CBX5,,,,INSR,,IGF2BP1,,,,,,,,,,POU2F2,,,,,,,,,,,,
106,,,ALG5,,,,ANG,,PRNP,,,,,,,,,,PROX1,,,,,,,,,,,,
107,,,CDCA4,,,,CEBPB,,MME,,,,,,,,,,PTGER4,,,,,,,,,,,,
108,,,BORA,,,,GCDH,,EIF4EBP1,,,,,,,,,,PTPN6,,,,,,,,,,,,
109,,,ATG5,,,,PLTP,,MCL1,,,,,,,,,,REPS2,,,,,,,,,,,,
110,,,AURKA,,,,,,PROX1,,,,,,,,,,RGS4,,,,,,,,,,,,
111,,,AURKB,,,,,,MAD1L1,,,,,,,,,,RIPK2,,,,,,,,,,,,
112,,,CASP7,,,,,,TIGAR,,,,,,,,,,S100A6,,,,,,,,,,,,
113,,,CHEK2,,,,,,WSB1,,,,,,,,,,SERPINB1,,,,,,,,,,,,
114,,,CREBBP,,,,,,PTK6,,,,,,,,,,SLC25A27,,,,,,,,,,,,
115,,,DNMT1,,,,,,SOD2,,,,,,,,,,SQSTM1,,,,,,,,,,,,
116,,,DRAM1,,,,,,QSOX1,,,,,,,,,,STAT4,,,,,,,,,,,,
117,,,ETV4,,,,,,RBMS1,,,,,,,,,,TAP1,,,,,,,,,,,,
118,,,FANCA,,,,,,MAPK14,,,,,,,,,,TAP2,,,,,,,,,,,,
119,,,FHIT,,,,,,BAX,,,,,,,,,,TBP,,,,,,,,,,,,
120,,,GINS3,,,,,,CARM1,,,,,,,,,,TFF3,,,,,,,,,,,,
121,,,MCM5,,,,,,NFE2L2,,,,,,,,,,THBD,,,,,,,,,,,,
122,,,MYH10,,,,,,SDC4,,,,,,,,,,TIMP1,,,,,,,,,,,,
123,,,NPAT,,,,,,LEPR,,,,,,,,,,TNFRSF10B,,,,,,,,,,,,
124,,,PEG10,,,,,,ALDOA,,,,,,,,,,TNFSF13B,,,,,,,,,,,,
125,,,RASGRP1,,,,,,AR,,,,,,,,,,TRAF1,,,,,,,,,,,,
126,,,RNF2,,,,,,ARNT2,,,,,,,,,,TRIM21,,,,,,,,,,,,
127,,,RRM1,,,,,,ASS1,,,,,,,,,,TRPC1,,,,,,,,,,,,
128,,,RRM2,,,,,,BID,,,,,,,,,,UPP1,,,,,,,,,,,,
129,,,TOP2A,,,,,,CDH1,,,,,,,,,,VEGFA,,,,,,,,,,,,
130,,,TP53INP1,,,,,,CXCL12,,,,,,,,,,IRF8,,,,,,,,,,,,
131,,,ULK1,,,,,,FAM162A,,,,,,,,,,NPY1R,,,,,,,,,,,,
132,,,WWOX,,,,,,MIF,,,,,,,,,,VIM,,,,,,,,,,,,
133,,,ATG12,,,,,,MMP2,,,,,,,,,,PDCD4,,,,,,,,,,,,
134,,,ATG4B,,,,,,NR3C1,,,,,,,,,,MDM2,,,,,,,,,,,,
135,,,ATG4D,,,,,,PPP1R3C,,,,,,,,,,HLA-A,,,,,,,,,,,,
136,,,ATG9A,,,,,,SETD2,,,,,,,,,,,,,,,,,,,,,,
137,,,AXIN2,,,,,,SOCS1,,,,,,,,,,,,,,,,,,,,,,
138,,,B4GALT1,,,,,,VEGFB,,,,,,,,,,,,,,,,,,,,,,
139,,,CDC25A,,,,,,VIM,,,,,,,,,,,,,,,,,,,,,,
140,,,CDC45,,,,,,DLL4,,,,,,,,,,,,,,,,,,,,,,
141,,,CDT1,,,,,,PFKL,,,,,,,,,,,,,,,,,,,,,,
142,,,FANCD2,,,,,,BHLHE40,,,,,,,,,,,,,,,,,,,,,,
143,,,FBXL16,,,,,,TFF3,,,,,,,,,,,,,,,,,,,,,,
144,,,FBXO5,,,,,,VMP1,,,,,,,,,,,,,,,,,,,,,,
145,,,GABARAPL2,,,,,,NKX3-1,,,,,,,,,,,,,,,,,,,,,,
146,,,GMNN,,,,,,ANKRD37,,,,,,,,,,,,,,,,,,,,,,
147,,,HELLS,,,,,,KDM4B,,,,,,,,,,,,,,,,,,,,,,
148,,,IGF1R,,,,,,KDM4C,,,,,,,,,,,,,,,,,,,,,,
149,,,JUN,,,,,,KDM6B,,,,,,,,,,,,,,,,,,,,,,
150,,,MCM10,,,,,,KDM5C,,,,,,,,,,,,,,,,,,,,,,
151,,,MCM6,,,,,,KDM5A,,,,,,,,,,,,,,,,,,,,,,
152,,,MXD3,,,,,,KDM2B,,,,,,,,,,,,,,,,,,,,,,
153,,,PCYT1A,,,,,,KDM7A,,,,,,,,,,,,,,,,,,,,,,
154,,,PLK3,,,,,,TNFSF13B,,,,,,,,,,,,,,,,,,,,,,
155,,,POLA1,,,,,,NDRG2,,,,,,,,,,,,,,,,,,,,,,
156,,,POLD1,,,,,,CEBPA,,,,,,,,,,,,,,,,,,,,,,
157,,,POLE2,,,,,,DDIT4,,,,,,,,,,,,,,,,,,,,,,
158,,,STIL,,,,,,MSH2,,,,,,,,,,,,,,,,,,,,,,
159,,,TK1,,,,,,KCNA5,,,,,,,,,,,,,,,,,,,,,,
160,,,TOPBP1,,,,,,FN1,,,,,,,,,,,,,,,,,,,,,,
161,,,POLA2,,,,,,HS2ST1,,,,,,,,,,,,,,,,,,,,,,
162,,,GRAMD4,,,,,,AQP4,,,,,,,,,,,,,,,,,,,,,,
163,,,USP37,,,,,,HDAC2,,,,,,,,,,,,,,,,,,,,,,
164,,,TGFB2,,,,,,ABCC9,,,,,,,,,,,,,,,,,,,,,,
165,,,CDK4,,,,,,PDK3,,,,,,,,,,,,,,,,,,,,,,
166,,,BAX,,,,,,S100A11,,,,,,,,,,,,,,,,,,,,,,
167,,,BID,,,,,,COL2A1,,,,,,,,,,,,,,,,,,,,,,
168,,,SIRT1,,,,,,KCNJ8,,,,,,,,,,,,,,,,,,,,,,
169,,,EZH2,,,,,,UCN3,,,,,,,,,,,,,,,,,,,,,,
170,,,IGF2,,,,,,THBS1,,,,,,,,,,,,,,,,,,,,,,
171,,,LIG4,,,,,,POLM,,,,,,,,,,,,,,,,,,,,,,
172,,,CASP2,,,,,,SMAD4,,,,,,,,,,,,,,,,,,,,,,
173,,,SRF,,,,,,APC,,,,,,,,,,,,,,,,,,,,,,
174,,,RECQL4,,,,,,GATA4,,,,,,,,,,,,,,,,,,,,,,
175,,,NOL9,,,,,,FASN,,,,,,,,,,,,,,,,,,,,,,
176,,,WRAP73,,,,,,SPRY2,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,ENO2,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,GBE1,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,PPP5C,,,,,,,,,,,,,,,,,,,,,,
